indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2004,1859450104.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2003,1844349334.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2002,1828744767.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2001,1812475067.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,2000,1795374943.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1999,1777464322.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1998,1758263635.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1997,1737429846.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1996,1715764488.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1995,1693960469.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1994,1671877438.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1993,1649557492.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1992,1627147885.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1991,1604095270.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1990,1579651917.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1989,1554321275.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1988,1528559240.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1987,1502192372.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1986,1476236205.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1985,1451742188.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1984,1428557744.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1983,1405938773.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1982,1382326011.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1981,1358992800.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1980,1338009609.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1979,1317673957.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1978,1297059239.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1977,1276830008.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1976,1256698596.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1975,1235222835.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1974,1212035036.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1973,1186384756.0,,,0
"{'id': 'SP.POP.TOTL', 'value': 'Population, total'}","{'id': 'T4', 'value': 'East Asia & Pacific (IDA & IBRD countries)'}",TEA,1972,1159220113.0,,,0
